MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP
4,1,2,AS,JNU,AK,SEA,WA,1410,20.00,20.00,1.00,1,1733,0.00,143.00,909.00,4
4,1,2,AS,JNU,AK,SEA,WA,1840,-10.00,0.00,0.00,-1,2200,0.00,140.00,909.00,4
4,1,2,AS,KOA,HI,SEA,WA,0800,-1.00,0.00,0.00,-1,1654,0.00,354.00,2688.00,11
4,1,2,AS,KOA,HI,SEA,WA,1308,-5.00,0.00,0.00,-1,2200,0.00,352.00,2688.00,11
4,1,2,AS,KOA,HI,SEA,WA,2200,-7.00,0.00,0.00,-1,0652,0.00,352.00,2688.00,11
4,1,2,AS,KTN,AK,SEA,WA,0856,-24.00,0.00,0.00,-2,1151,0.00,115.00,680.00,3
4,1,2,AS,KTN,AK,SEA,WA,1308,-23.00,0.00,0.00,-2,1559,0.00,111.00,680.00,3
4,1,2,AS,KTN,AK,SEA,WA,1735,-14.00,0.00,0.00,-1,2030,0.00,115.00,680.00,3
4,1,2,AS,LAS,NV,PAE,WA,1710,-17.00,0.00,0.00,-2,2001,0.00,171.00,894.00,4
4,1,2,AS,LAS,NV,SEA,WA,0740,-13.00,0.00,0.00,-1,1028,0.00,168.00,867.00,4
4,1,2,AS,LAS,NV,SEA,WA,0930,-5.00,0.00,0.00,-1,1218,0.00,168.00,867.00,4
4,1,2,AS,LAS,NV,SEA,WA,1037,-10.00,0.00,0.00,-1,1325,0.00,168.00,867.00,4
4,1,2,AS,LAS,NV,SEA,WA,1413,23.00,23.00,1.00,1,1659,0.00,166.00,867.00,4
4,1,2,AS,LAS,NV,SEA,WA,1600,19.00,19.00,1.00,1,1846,0.00,166.00,867.00,4
4,1,2,AS,LAS,NV,SEA,WA,1750,5.00,5.00,0.00,0,2035,0.00,165.00,867.00,4
4,1,2,AS,LAX,CA,GEG,WA,2021,27.00,27.00,1.00,1,2302,0.00,161.00,945.00,4
4,1,2,AS,LAX,CA,SEA,WA,0800,-3.00,0.00,0.00,-1,1100,0.00,180.00,954.00,4
4,1,2,AS,LAX,CA,SEA,WA,1000,-6.00,0.00,0.00,-1,1255,0.00,175.00,954.00,4
4,1,2,AS,LAX,CA,SEA,WA,1200,0.00,0.00,0.00,0,1453,0.00,173.00,954.00,4
4,1,2,AS,LAX,CA,SEA,WA,1358,-5.00,0.00,0.00,-1,1654,0.00,176.00,954.00,4
4,1,2,AS,LAX,CA,SEA,WA,1503,10.00,10.00,0.00,0,1754,0.00,171.00,954.00,4
4,1,2,AS,LAX,CA,SEA,WA,1742,-5.00,0.00,0.00,-1,2035,0.00,173.00,954.00,4
4,1,2,AS,LAX,CA,SEA,WA,2059,-2.00,0.00,0.00,-1,2352,0.00,173.00,954.00,4
4,1,2,AS,LIH,HI,SEA,WA,1301,-6.00,0.00,0.00,-1,2153,0.00,352.00,2701.00,11
4,1,2,AS,LIH,HI,SEA,WA,2230,-2.00,0.00,0.00,-1,0715,0.00,345.00,2701.00,11
4,1,2,AS,MCI,MO,SEA,WA,0700,-10.00,0.00,0.00,-1,0859,0.00,239.00,1489.00,6
4,1,2,AS,MCI,MO,SEA,WA,1455,2.00,2.00,0.00,0,1658,0.00,243.00,1489.00,6
4,1,2,AS,MCO,FL,SEA,WA,0706,-5.00,0.00,0.00,-1,1040,0.00,394.00,2554.00,11
4,1,2,AS,MCO,FL,SEA,WA,0920,34.00,34.00,1.00,2,1254,0.00,394.00,2554.00,11
4,1,2,AS,MCO,FL,SEA,WA,1639,-1.00,0.00,0.00,-1,2009,0.00,390.00,2554.00,11
4,1,2,AS,MCO,FL,SEA,WA,1831,-10.00,0.00,0.00,-1,2200,0.00,389.00,2554.00,11
4,1,2,AS,MIA,FL,SEA,WA,1802,38.00,38.00,1.00,2,2159,0.00,417.00,2724.00,11
4,1,2,AS,MKE,WI,SEA,WA,1458,37.00,37.00,1.00,2,1722,0.00,264.00,1694.00,7
4,1,2,AS,MSO,MT,SEA,WA,1435,-9.00,0.00,0.00,-1,1503,0.00,88.00,389.00,2
4,1,2,AS,MSP,MN,SEA,WA,0700,3.00,3.00,0.00,0,0904,0.00,244.00,1399.00,6
4,1,2,AS,MSP,MN,SEA,WA,1502,-7.00,0.00,0.00,-1,1657,0.00,235.00,1399.00,6
4,1,2,AS,MSY,LA,SEA,WA,0700,-7.00,0.00,0.00,-1,1020,0.00,320.00,2086.00,9
4,1,2,AS,MSY,LA,SEA,WA,1642,-4.00,0.00,0.00,-1,2004,0.00,322.00,2086.00,9
4,1,2,AS,OAK,CA,SEA,WA,0643,-7.00,0.00,0.00,-1,0850,0.00,127.00,672.00,3
4,1,2,AS,OGG,HI,SEA,WA,0800,-9.00,0.00,0.00,-1,1645,0.00,345.00,2640.00,11
4,1,2,AS,OGG,HI,SEA,WA,1314,-10.00,0.00,0.00,-1,2200,0.00,346.00,2640.00,11
4,1,2,AS,OGG,HI,SEA,WA,2044,11.00,11.00,0.00,0,0532,0.00,348.00,2640.00,11
4,1,2,AS,OKC,OK,SEA,WA,1459,-2.00,0.00,0.00,-1,1700,0.00,241.00,1519.00,7
4,1,2,AS,OMA,NE,SEA,WA,1512,-6.00,0.00,0.00,-1,1654,0.00,222.00,1368.00,6
4,1,2,AS,ONT,CA,SEA,WA,0600,7.00,7.00,0.00,0,0850,0.00,170.00,956.00,4
4,1,2,AS,ONT,CA,SEA,WA,1133,32.00,32.00,1.00,2,1422,0.00,169.00,956.00,4
4,1,2,AS,ORD,IL,SEA,WA,0740,-9.00,0.00,0.00,-1,1016,0.00,276.00,1721.00,7
4,1,2,AS,ORD,IL,SEA,WA,1000,-9.00,0.00,0.00,-1,1243,0.00,283.00,1721.00,7
4,1,2,AS,ORD,IL,SEA,WA,1405,12.00,12.00,0.00,0,1642,0.00,277.00,1721.00,7
4,1,2,AS,ORD,IL,SEA,WA,1753,0.00,0.00,0.00,0,2034,0.00,281.00,1721.00,7
4,1,2,AS,ORD,IL,SEA,WA,1916,-5.00,0.00,0.00,-1,2200,0.00,284.00,1721.00,7
4,1,2,AS,PAE,WA,HNL,HI,0700,50.00,50.00,1.00,3,1026,0.00,386.00,2694.00,11
4,1,2,AS,PAE,WA,LAS,NV,2059,-10.00,0.00,0.00,-1,2329,0.00,150.00,894.00,4
4,1,2,AS,PAE,WA,PHX,AZ,0712,-11.00,0.00,0.00,-1,1000,0.00,168.00,1133.00,5
4,1,2,AS,PAE,WA,PHX,AZ,1436,15.00,15.00,1.00,1,1723,0.00,167.00,1133.00,5
4,1,2,AS,PDX,OR,SEA,WA,0600,8.00,8.00,0.00,0,0659,0.00,59.00,129.00,1
4,1,2,AS,PDX,OR,SEA,WA,1150,-1.00,0.00,0.00,-1,1248,0.00,58.00,129.00,1
4,1,2,AS,PDX,OR,SEA,WA,1332,30.00,30.00,1.00,2,1430,0.00,58.00,129.00,1
4,1,2,AS,PHL,PA,SEA,WA,0720,-3.00,0.00,0.00,-1,1020,0.00,360.00,2378.00,10
4,1,2,AS,PHL,PA,SEA,WA,1746,-10.00,0.00,0.00,-1,2056,0.00,370.00,2378.00,10
4,1,2,AS,PHX,AZ,PAE,WA,1031,20.00,20.00,1.00,1,1340,0.00,189.00,1133.00,5
