MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyVisibility,HourlyWindSpeed
6,5,4,AS,SEA,WA,IAH,TX,11.5,32.0,32.0,1.0,2.0,18.23,284.0,1874.0,8,52.0,68.0,57.0,10.0,9.0
6,5,4,AS,SEA,WA,IAH,TX,17.77,4.0,4.0,0.0,0.0,23.98,253.0,1874.0,8,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,IAH,TX,23.98,5.0,5.0,0.0,0.0,6.33,261.0,1874.0,8,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,IND,IN,10.42,112.0,112.0,1.0,7.0,17.62,252.0,1866.0,8,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,IND,IN,23.98,27.0,27.0,1.0,1.0,7.12,248.0,1866.0,8,50.0,65.0,59.0,10.0,9.0
6,5,4,AS,SEA,WA,JFK,NY,7.93,7.0,7.0,0.0,0.0,16.48,333.0,2422.0,10,51.0,57.0,81.0,10.0,6.0
6,5,4,AS,SEA,WA,JFK,NY,10.92,73.0,73.0,1.0,4.0,19.48,334.0,2422.0,10,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,JFK,NY,14.62,36.0,36.0,1.0,2.0,22.98,322.0,2422.0,10,49.0,75.0,40.0,10.0,8.0
6,5,4,AS,SEA,WA,JFK,NY,21.67,9.0,9.0,0.0,0.0,6.15,329.0,2422.0,10,50.0,66.0,56.0,10.0,11.0
6,5,4,AS,SEA,WA,JNU,AK,7.0,-9.0,0.0,0.0,-1.0,8.57,154.0,909.0,4,51.0,57.0,81.0,10.0,6.0
6,5,4,AS,SEA,WA,JNU,AK,9.98,-9.0,0.0,0.0,-1.0,11.55,154.0,909.0,4,52.0,61.0,72.0,10.0,7.0
6,5,4,AS,SEA,WA,JNU,AK,11.55,32.0,32.0,1.0,2.0,13.12,154.0,909.0,4,52.0,68.0,57.0,10.0,9.0
6,5,4,AS,SEA,WA,JNU,AK,13.67,-6.0,0.0,0.0,-1.0,15.17,150.0,909.0,4,49.0,73.0,43.0,10.0,8.0
6,5,4,AS,SEA,WA,JNU,AK,22.75,38.0,38.0,1.0,2.0,0.18,146.0,909.0,4,51.0,66.0,59.0,10.0,8.0
6,5,4,AS,SEA,WA,KOA,HI,10.3,18.0,18.0,1.0,1.0,13.57,376.0,2688.0,11,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,KOA,HI,12.07,5.0,5.0,0.0,0.0,15.33,376.0,2688.0,11,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,KOA,HI,18.98,5.0,5.0,0.0,0.0,22.25,376.0,2688.0,11,48.0,73.0,41.0,10.0,8.0
6,5,4,AS,SEA,WA,KTN,AK,7.33,-14.0,0.0,0.0,-1.0,8.43,126.0,680.0,3,51.0,57.0,81.0,10.0,6.0
6,5,4,AS,SEA,WA,KTN,AK,11.85,14.0,14.0,0.0,0.0,12.95,126.0,680.0,3,52.0,68.0,57.0,10.0,9.0
6,5,4,AS,SEA,WA,KTN,AK,15.58,89.0,89.0,1.0,5.0,16.62,122.0,680.0,3,50.0,75.0,41.0,10.0,11.0
6,5,4,AS,SEA,WA,KTN,AK,18.7,-8.0,0.0,0.0,-1.0,19.75,123.0,680.0,3,48.0,73.0,41.0,10.0,8.0
6,5,4,AS,SEA,WA,LAS,NV,8.02,-7.0,0.0,0.0,-1.0,10.52,150.0,867.0,4,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,LAS,NV,10.42,5.0,5.0,0.0,0.0,12.95,152.0,867.0,4,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,LAS,NV,14.8,52.0,52.0,1.0,3.0,17.32,151.0,867.0,4,49.0,75.0,40.0,10.0,8.0
6,5,4,AS,SEA,WA,LAS,NV,16.83,43.0,43.0,1.0,2.0,19.33,150.0,867.0,4,50.0,77.0,39.0,10.0,10.0
6,5,4,AS,SEA,WA,LAS,NV,17.9,20.0,20.0,1.0,1.0,20.42,151.0,867.0,4,49.0,75.0,40.0,10.0,14.0
6,5,4,AS,SEA,WA,LAS,NV,19.93,44.0,44.0,1.0,2.0,22.43,150.0,867.0,4,50.0,69.0,51.0,10.0,9.0
6,5,4,AS,SEA,WA,LAS,NV,21.45,19.0,19.0,1.0,1.0,23.98,152.0,867.0,4,50.0,66.0,56.0,10.0,11.0
6,5,4,AS,SEA,WA,LAX,CA,6.0,23.0,23.0,1.0,1.0,8.58,155.0,954.0,4,51.0,54.0,90.0,5.0,0.0
6,5,4,AS,SEA,WA,LAX,CA,7.0,-6.0,0.0,0.0,-1.0,9.75,165.0,954.0,4,51.0,57.0,81.0,10.0,6.0
6,5,4,AS,SEA,WA,LAX,CA,8.08,-5.0,0.0,0.0,-1.0,10.83,165.0,954.0,4,52.0,58.0,81.0,10.0,5.0
6,5,4,AS,SEA,WA,LAX,CA,10.2,10.0,10.0,0.0,0.0,12.97,166.0,954.0,4,53.0,65.0,66.0,10.0,9.0
6,5,4,AS,SEA,WA,LAX,CA,12.0,14.0,14.0,0.0,0.0,14.77,166.0,954.0,4,51.0,71.0,49.0,10.0,13.0
6,5,4,AS,SEA,WA,LAX,CA,14.5,-4.0,0.0,0.0,-1.0,17.25,165.0,954.0,4,49.0,75.0,40.0,10.0,8.0
