MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4,1,2,4/1/2025 0:00,AS,GEG,WA,SEA,WA,1329,13,13,0,0,14,0,66,224,1,,,,,
4,1,2,4/1/2025 0:00,AS,GEG,WA,SEA,WA,1748,26,26,1,1,16,0,66,224,1,5,0,0,0,21
4,1,2,4/1/2025 0:00,AS,HNL,HI,PAE,WA,1438,7,7,0,0,17,0,360,2694,11,,,,,
4,1,2,4/1/2025 0:00,AS,HNL,HI,SEA,WA,1126,49,49,1,3,22,0,357,2677,11,0,0,0,0,30
4,1,2,4/1/2025 0:00,AS,HNL,HI,SEA,WA,1603,13,13,0,0,21,0,353,2677,11,,,,,
4,1,2,4/1/2025 0:00,AS,HNL,HI,SEA,WA,2108,-8,0,0,-1,23,0,353,2677,11,,,,,
4,1,2,4/1/2025 0:00,AS,HNL,HI,SEA,WA,2346,34,34,1,2,16,0,352,2677,11,24,0,0,0,0
4,1,2,4/1/2025 0:00,AS,IAD,VA,SEA,WA,700,-6,0,0,-1,19,0,352,2306,10,,,,,
4,1,2,4/1/2025 0:00,AS,IAD,VA,SEA,WA,1822,-4,0,0,-1,25,0,359,2306,10,,,,,
4,1,2,4/1/2025 0:00,AS,IAH,TX,SEA,WA,730,-3,0,0,-1,24,0,294,1874,8,,,,,
4,1,2,4/1/2025 0:00,AS,IAH,TX,SEA,WA,1848,11,11,0,0,15,0,299,1874,8,,,,,
4,1,2,4/1/2025 0:00,AS,IND,IN,SEA,WA,1835,-7,0,0,-1,13,0,294,1866,8,,,,,
4,1,2,4/1/2025 0:00,AS,JFK,NY,SEA,WA,720,6,6,0,0,18,0,379,2422,10,,,,,
4,1,2,4/1/2025 0:00,AS,JFK,NY,SEA,WA,1130,,,,,,1,377,2422,10,,,,,
